country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,gdp_per_capita,gdp_per_capita_quintiles
Nicaragua,2021,NIC,6850546.0,30136879104.0,0.233,0.034,5.06,0.503,11.034,10.886,0.1,0.925,1.589,0.391,0.373,0.739,0.173,0.173,0.0,0.0,5.874,0.869,0.229,8.673,181.367,2904.049,0.0,0.0,0.0,4096.096,172.694,,4265.271,0.934,0.0,0.0,0.0,0.0,2.821,5.764,5.826,0.85,9.47,1.421,3.52,0.528,4.827,0.705,,,29.219,0.014,0.014,0.027,0.0,0.019,0.01,0.117,0.0,0.0,0.0,0.552,0.029,,0.0,0.0,0.148,0.041,,0.127,0.0,0.002,0.002,0.0,38.41,18.8,1.317,28.896,4399.19374368116,1.0
Niger,2021,NER,25252722.0,20483442688.0,0.101,0.004,2.699,0.208,8.329,39.705,0.427,1.088,1.572,1.824,3.837,0.107,0.088,0.261,0.342,0.014,,,,1.153,51.519,1125.437,12.157,0.989,0.0,1823.719,37.219,,409.757,0.507,0.093,0.004,0.0,0.0,1.822,1.875,37.006,1.465,27.26,1.163,12.59,0.537,2.163,0.086,,,10.347,0.006,0.007,0.097,0.002,0.003,0.003,0.045,0.002,0.005,0.0,0.246,0.006,,0.022,0.0,0.939,0.018,,0.102,0.001,0.001,0.002,0.0,43.96,42.72,,,811.138010706331,0.0
Nigeria,2021,NGA,213401328.0,1060805935104.0,8.757,0.041,136.987,6.81,5.231,122.807,2.193,1.819,0.575,0.1,0.226,0.642,0.099,0.252,0.154,0.001,132.799,0.637,0.095,140.413,4008.988,14529.944,70.652,1241.447,750.906,11481.657,1805.57,,2547.954,0.46,12.458,0.058,40.644,0.19,1.516,1.743,-14.18,-0.066,135.91,0.669,40.36,0.199,74.974,0.351,,,543.737,0.524,0.369,0.299,0.001,0.312,0.231,0.587,0.009,6.727,0.296,1.546,0.298,,2.991,0.513,-0.36,0.633,,1.182,0.011,0.007,0.019,0.001,354.33,308.18,2.622,2.014,4970.943456846717,1.0
Niue,2021,NIU,1957.0,,0.0,0.0,0.012,0.0,2.767,,,,,,,6.092,,0.378,0.0,0.0,,,,0.0,0.302,,0.0,0.0,0.0,,0.302,,16120.62,,0.0,0.0,0.0,0.0,5.147,5.147,,,0.0,0.0,0.0,0.0,0.012,6.092,,,0.032,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.01,0.01,,,,
North Korea,2021,PRK,25971910.0,40517136384.0,2.48,0.096,56.38,1.044,1.886,65.467,1.007,1.562,2.521,1.406,0.657,2.171,1.176,0.566,50.454,1.943,,,,153.669,5172.173,6420.534,4752.104,0.0,0.0,1391.184,266.4,,3833.954,2.388,0.0,0.0,0.0,0.0,3.081,3.211,9.087,0.35,18.11,0.703,2.46,0.096,3.446,0.133,,,99.575,0.148,0.152,0.159,0.337,0.341,0.298,0.259,0.591,0.0,0.0,0.187,0.044,,0.0,0.0,0.231,0.029,,0.233,0.001,0.003,0.004,0.0,82.69,79.34,,,1560.0368391851043,0.0
North Macedonia,2021,MKD,2103329.0,27703576576.0,0.352,0.167,6.852,0.202,3.039,5.533,0.129,2.383,2.63,0.217,0.196,3.257,0.254,0.242,2.394,1.138,,,,18.455,642.474,963.441,418.154,0.21,6.294,464.668,199.361,,13448.679,1.061,0.0,0.0,0.723,0.344,5.321,5.326,-1.319,-0.627,2.35,1.112,0.54,0.255,3.383,1.609,,,28.287,0.021,0.018,0.013,0.016,0.041,0.037,0.039,0.052,0.001,0.002,0.063,0.033,,0.0,0.009,-0.033,0.029,,0.029,0.0,0.0,0.0,0.0,11.26,11.25,,,13171.299675894736,2.0
Norway,2021,NOR,5403021.0,449338998784.0,0.701,0.13,40.919,-0.277,-0.673,47.331,0.052,0.111,8.76,0.112,0.083,7.573,0.099,0.072,4.178,0.773,47.107,8.756,0.111,62.602,2672.222,3894.507,617.523,74.301,469.604,1223.3,1426.043,22.148,105328.086,1.224,1.519,0.281,12.673,2.346,8.582,5.045,6.412,1.187,4.54,0.849,3.4,0.636,21.478,3.975,0.068,0.37,569.09,0.042,0.11,0.115,0.028,0.139,0.154,0.157,0.077,0.403,0.185,0.165,0.236,0.229,0.365,0.16,0.163,0.181,0.125,0.17,0.001,0.001,0.003,0.0,26.98,45.9,5.911,14.348,83164.3998392751,4.0
Oman,2021,OMN,4520474.0,172358221824.0,1.816,0.402,80.991,8.485,11.702,81.358,8.485,11.644,17.998,0.423,0.206,17.917,0.421,0.206,0.0,0.0,58.742,12.929,0.366,38.364,1404.168,1408.418,0.0,149.319,866.593,-2.821,349.892,,87160.523,2.18,4.653,1.029,62.327,13.788,21.783,21.787,0.366,0.081,20.24,4.397,1.06,0.23,12.195,2.698,,,394.007,0.109,0.218,0.198,0.0,0.085,0.081,0.057,0.0,0.809,0.341,-0.0,0.058,,1.117,0.787,0.009,0.103,,0.13,0.001,0.001,0.002,0.0,100.28,100.26,-13.765,-18.984,38128.35154543528,4.0
Pakistan,2021,PAK,231402112.0,1212090548224.0,18.621,0.08,229.512,19.128,9.092,254.061,18.725,7.957,1.098,0.19,0.234,0.992,0.169,0.212,59.957,0.259,228.464,1.006,0.187,320.075,5273.938,7785.904,790.928,32.092,1926.131,3350.911,2204.712,,4683.573,0.801,0.442,0.002,75.509,0.326,1.937,1.968,24.549,0.106,162.76,0.729,66.67,0.299,74.984,0.324,,,1083.789,1.113,0.618,0.619,0.4,0.71,0.304,0.315,0.098,0.174,0.758,0.451,0.364,,0.106,0.953,0.623,0.633,,0.755,0.008,0.003,0.012,0.001,439.49,432.5,18.08,8.594,5238.027162967294,1.0
Palau,2021,PLW,18050.0,,0.0,0.0,0.238,0.006,2.767,,,,,,,13.21,,,0.0,0.0,,,,0.0,10.814,,0.0,0.0,0.0,,10.814,,,,0.0,0.0,0.0,0.0,16.166,16.166,,,0.02,1.115,0.0,0.0,0.238,13.21,,,,0.0,0.001,,0.0,0.0,0.001,,0.0,0.0,0.0,,0.002,,0.0,0.0,,0.002,,0.0,0.0,0.0,0.0,0.0,0.29,0.29,,,,
Panama,2021,PAN,4351264.0,86035742720.0,0.57,0.131,13.032,1.375,11.798,18.088,1.449,8.705,4.157,0.186,0.154,2.995,0.125,0.111,2.924,0.672,15.914,3.706,0.201,19.768,324.128,1376.539,15.685,0.0,4.532,1836.03,284.143,,27067.068,1.513,0.0,0.0,0.911,0.209,4.933,5.978,5.056,1.162,4.97,1.174,1.33,0.314,8.626,1.982,,,117.776,0.034,0.035,0.044,0.02,0.044,0.019,0.056,0.002,0.0,0.002,0.247,0.047,,0.0,0.012,0.128,0.073,,0.058,0.0,0.001,0.001,0.0,25.3,20.88,4.258,36.526,19772.586246203402,3.0
Papua New Guinea,2021,PNG,9949438.0,,0.0,0.0,8.51,0.184,2.215,36.796,0.954,2.661,3.698,,1.742,0.855,,0.403,0.0,0.0,,,,0.0,183.206,1720.474,0.051,1.528,12.249,1537.268,169.378,,2123.498,,0.124,0.012,0.791,0.08,2.348,6.651,28.286,2.843,10.89,1.141,3.69,0.387,7.594,0.763,,,21.128,0.0,0.023,0.09,0.0,0.0,0.011,0.07,0.0,0.008,0.005,0.207,0.028,,0.03,0.01,0.718,0.064,,0.073,0.0,0.001,0.001,0.0,63.47,22.41,,,,
Paraguay,2021,PRY,6703802.0,66292862976.0,0.404,0.06,8.577,0.543,6.763,45.033,-0.593,-1.299,6.718,0.734,0.426,1.279,0.128,0.081,0.002,0.0,12.196,1.843,0.192,10.028,186.636,4460.362,0.043,0.0,0.0,5142.094,176.564,,15782.273,2.249,0.0,0.0,0.0,0.0,7.588,14.793,36.457,5.438,29.69,4.547,11.0,1.685,8.171,1.219,,,105.801,0.024,0.023,0.11,0.0,0.022,0.011,0.18,0.0,0.0,0.0,0.693,0.029,,0.0,0.0,0.926,0.069,,0.204,0.001,0.002,0.003,0.0,96.6,49.55,4.163,51.817,9888.845609700287,2.0
Peru,2021,PER,33715464.0,386316107776.0,4.546,0.135,56.282,8.793,18.516,45.62,5.898,14.849,1.353,0.145,0.144,1.669,0.143,0.177,2.48,0.074,57.613,1.73,0.168,116.781,1995.779,7086.321,120.081,79.296,252.477,5433.016,1427.144,,9412.289,0.824,0.121,0.004,15.32,0.454,3.069,5.808,-10.662,-0.316,32.58,0.993,10.22,0.311,33.815,1.003,,,317.34,0.272,0.152,0.111,0.017,0.259,0.115,0.286,0.015,0.43,0.099,0.732,0.236,,0.029,0.193,-0.271,0.286,,0.317,0.002,0.003,0.005,0.0,190.66,100.73,10.123,21.317,11458.12816860536,2.0
Philippines,2021,PHL,113880336.0,912443441152.0,11.675,0.103,144.264,8.602,6.341,172.99,7.21,4.349,1.519,0.187,0.317,1.267,0.155,0.264,74.912,0.658,168.763,1.504,0.192,252.136,3535.601,13629.445,891.526,2.31,135.742,13459.302,2253.888,,4791.938,0.6,0.163,0.001,6.591,0.058,2.122,2.145,28.726,0.252,64.76,0.587,14.1,0.128,50.923,0.447,,,545.707,0.698,0.389,0.421,0.5,0.559,0.204,0.551,0.111,0.013,0.053,1.813,0.372,,0.039,0.083,0.729,0.43,,0.656,0.004,0.007,0.011,0.0,236.79,234.28,33.102,24.4,8012.300219697279,1.0
Poland,2021,POL,38307724.0,1053479337984.0,7.496,0.196,328.58,25.057,8.255,281.204,26.742,10.509,7.341,0.271,0.229,8.577,0.32,0.268,179.502,4.686,287.084,7.471,0.312,423.253,28196.094,26431.443,23198.406,114.944,1225.725,-1704.493,3085.318,148.447,32001.074,1.158,4.225,0.11,40.57,1.059,9.174,8.319,-47.376,-1.237,29.0,0.753,21.68,0.563,91.709,2.394,0.133,5.077,1225.888,0.448,0.885,0.685,1.198,0.939,1.623,1.068,2.885,0.623,0.482,-0.23,0.51,1.533,1.014,0.512,-1.203,0.775,1.714,1.022,0.004,0.012,0.016,0.001,320.23,353.14,-16.439,-5.416,27500.441894799074,3.0
Portugal,2021,PRT,10290109.0,276343586816.0,2.31,0.224,40.797,-1.003,-2.399,36.547,-0.929,-2.48,3.552,0.17,0.137,3.965,0.186,0.153,1.102,0.107,47.937,4.655,0.203,161.76,2656.068,3052.147,651.548,18.849,224.055,466.061,1573.951,25.904,25884.49,1.113,1.013,0.098,11.649,1.132,5.965,5.996,-4.25,-0.413,11.36,1.104,2.99,0.291,23.886,2.321,0.081,0.839,266.354,0.138,0.11,0.089,0.007,0.359,0.153,0.123,0.081,0.102,0.088,0.063,0.26,0.267,0.243,0.147,-0.108,0.202,0.283,0.119,0.001,0.001,0.002,0.0,61.7,61.38,6.138,14.683,26855.26332286665,3.0
Qatar,2021,QAT,2688239.0,400649388032.0,1.572,0.585,95.667,2.806,3.022,95.667,2.806,3.022,35.587,0.238,0.178,35.587,0.238,0.178,0.0,0.0,71.139,25.771,0.17,34.225,2155.059,2155.975,0.0,178.056,1622.297,0.916,320.479,,199419.203,1.399,1.891,0.704,83.531,31.073,40.88,40.88,0.0,0.0,21.45,7.641,0.65,0.232,8.673,3.226,,,536.086,0.094,0.258,0.233,0.0,0.076,0.124,0.087,0.0,0.965,0.639,0.0,0.053,,0.454,1.054,0.0,0.073,,0.241,0.003,0.001,0.004,0.0,114.76,114.76,-21.722,-23.392,149037.86011288431,4.0
Romania,2021,ROU,19328558.0,386236481536.0,3.901,0.202,79.327,5.189,6.999,60.824,4.786,8.54,3.147,0.164,0.157,4.104,0.208,0.205,16.451,0.851,81.097,4.171,0.23,265.071,8647.11,11838.931,2569.404,28.964,2939.486,3398.946,2807.696,36.489,20035.705,1.026,0.794,0.041,25.51,1.32,5.185,4.013,-18.503,-0.957,16.77,0.859,8.94,0.458,31.801,1.645,0.045,0.87,387.261,0.233,0.214,0.148,0.11,0.588,0.498,0.478,0.32,0.157,1.157,0.458,0.464,0.377,0.191,0.322,-0.47,0.269,0.294,0.365,0.001,0.004,0.006,0.0,78.36,101.24,6.959,9.387,19982.684768103238,3.0
Russia,2021,RUS,145102752.0,3613410459648.0,21.921,0.151,1755.547,131.326,8.085,2193.249,139.277,6.781,15.115,0.574,0.251,12.099,0.471,0.201,380.227,2.62,1360.149,9.341,0.376,1659.174,117547.633,213136.953,45571.473,1486.447,35054.215,99041.836,33219.816,556.505,60271.016,2.336,58.922,0.406,875.052,6.031,16.995,13.207,437.701,3.016,687.4,4.717,65.12,0.447,403.08,2.778,0.113,16.345,8745.49,1.311,4.729,5.341,2.538,3.682,6.768,8.612,5.667,8.055,13.798,13.339,5.487,5.747,14.146,11.046,11.112,3.405,5.519,6.098,0.02,0.075,0.098,0.004,1924.82,2476.84,-264.073,-16.258,24902.425418147825,3.0
Rwanda,2021,RWA,13461891.0,22988918784.0,0.164,0.012,1.755,0.093,5.575,3.696,0.056,1.539,0.275,0.148,0.583,0.13,0.056,0.277,0.019,0.001,2.164,0.165,0.082,1.776,32.033,460.428,0.096,0.022,0.637,713.674,29.501,,471.355,0.268,0.0,0.0,0.102,0.008,0.416,0.545,1.942,0.144,1.88,0.146,1.89,0.147,1.47,0.109,,,6.345,0.01,0.005,0.009,0.0,0.004,0.002,0.019,0.0,0.0,0.0,0.096,0.005,,0.0,0.001,0.049,0.012,,0.034,0.0,0.0,0.001,0.0,7.0,5.34,0.502,30.208,1707.7035302098345,0.0
Saint Kitts and Nevis,2021,KNA,47631.0,,0.0,0.0,0.238,0.022,10.164,0.165,0.022,15.388,3.454,,0.165,4.992,,0.239,0.0,0.0,,,,0.0,6.595,2.711,0.0,0.0,0.0,-1.759,6.595,,20900.703,,0.0,0.0,0.0,0.0,7.332,7.332,-0.073,-1.538,0.08,1.676,0.01,0.209,0.238,4.992,,,0.996,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.001,,0.0,0.0,-0.002,0.002,,0.0,0.0,0.0,0.0,0.0,0.35,0.35,,,,
Saint Lucia,2021,LCA,179663.0,1733778304.0,0.0,0.0,0.486,0.045,10.164,0.413,0.045,12.189,2.297,0.251,0.169,2.705,0.294,0.199,0.0,0.0,,,,0.0,14.872,14.872,0.0,0.0,0.0,2.198,14.872,,13599.725,1.07,0.0,0.0,0.0,0.0,4.927,4.143,-0.073,-0.408,0.27,1.512,0.03,0.168,0.486,2.705,,,2.443,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.002,,0.0,0.0,-0.002,0.004,,0.001,0.0,0.0,0.0,0.0,0.74,0.88,,,9650.168949644612,2.0
Saint Vincent and the Grenadines,2021,VCT,104340.0,,0.0,0.0,0.214,0.02,10.164,0.177,0.02,12.531,1.697,,0.206,2.048,,0.248,0.0,0.0,,,,0.0,7.157,9.831,0.0,0.0,0.0,2.675,7.157,,8245.438,,0.0,0.0,0.0,0.0,3.24,3.24,-0.037,-0.351,0.07,0.667,0.01,0.095,0.214,2.048,,,0.86,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,-0.001,0.002,,0.0,0.0,0.0,0.0,0.0,0.34,0.34,,,,
Samoa,2021,WSM,218781.0,,0.0,0.0,0.294,0.008,2.767,0.111,0.008,7.691,0.507,,0.069,1.344,,0.184,0.0,0.0,,,,0.0,7.142,9.487,0.0,0.0,0.0,9.673,7.142,,7302.089,,0.0,0.0,0.0,0.0,3.209,3.728,-0.183,-0.837,0.31,1.463,0.06,0.283,0.294,1.344,,,1.598,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,,0.0,0.0,-0.005,0.002,,0.002,0.0,0.0,0.0,0.0,0.79,0.68,,,,
Sao Tome and Principe,2021,STP,223118.0,762655232.0,0.0,0.0,0.132,0.008,6.093,0.095,0.008,8.637,0.427,0.125,0.129,0.592,0.173,0.179,0.0,0.0,,,,0.0,3.51,9.116,0.0,0.0,0.0,11.248,3.51,,3310.244,0.873,0.0,0.0,0.0,0.0,0.839,1.864,-0.037,-0.164,0.01,0.047,0.02,0.093,0.132,0.592,,,0.739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,,0.0,0.0,-0.001,0.001,,0.0,0.0,0.0,0.0,0.0,0.4,0.18,,,3418.169901128551,1.0
Saudi Arabia,2021,SAU,35950396.0,1677338607616.0,28.688,0.798,672.38,11.187,1.692,674.652,11.334,1.709,18.766,0.374,0.226,18.703,0.373,0.225,0.0,0.0,657.944,18.278,0.359,560.302,16705.824,16896.535,0.0,942.124,5033.217,156.636,10170.182,,83101.906,1.849,3.905,0.109,270.065,7.512,20.184,20.184,2.272,0.063,110.25,3.077,8.25,0.23,369.721,10.284,,,2987.546,1.715,1.811,1.643,0.0,1.243,0.962,0.683,0.0,5.105,1.981,0.021,1.68,,0.938,3.409,0.058,3.123,,0.771,0.005,0.008,0.012,0.0,723.15,723.15,-3.249,-0.491,46657.02729994963,4.0
